id;gender;phone;address_line_1;address_line_2;city;country;user_id
1;MALE;986.132.3778 x888;optical invoice;Marketing;Treutelfurt;Mozambique;2
2;MALE;1-690-213-5464 x69217;Networked;Fish;New Natalie;Svalbard & Jan Mayen Islands;2
3;MALE;1-362-225-9934 x896;cross-platform Borders;Libyan Dinar CSS;Lake Jessyburgh;Mexico;1
4;MALE;298.370.9934 x59599;Incredible functionalities fuchsia;infrastructure;West Kayliebury;United Arab Emirates;2
5;MALE;125.283.7861;array France protocol;open-source HDD;Bodeport;Albania;2
6;MALE;1-370-883-0350 x4560;Dale;Specialist generating;Bartellberg;Argentina;1
7;MALE;722-964-0801 x54566;panel;Analyst card Licensed Cotton Ball;South Natalie;Belarus;1
8;MALE;(846) 640-1914;Optimized;microchip;Tracyburgh;New Zealand;2
9;MALE;740-253-1710 x3100;Incredible Fresh Chips;Shoes Music connect;Kozeyborough;Chile;1
10;MALE;(023) 069-5585 x66160;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;South Randalmouth;Somalia;2
